route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
147-203,Weekday-1,1001-14701-21000-2-2f648f34,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-21600-2-40fcfa30,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-22800-2-fe10c718,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-23400-2-40fcfa30,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-24600-2-fe10c718,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-25200-2-40fcfa30,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-26400-2-fe10c718,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-27000-2-40fcfa30,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-28200-2-fe10c718,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-28800-2-40fcfa30,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-30000-2-0fe50e43,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-30600-2-10593867,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-31800-2-0fe50e43,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-32400-2-10593867,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-33600-2-0fe50e43,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-34200-2-20ce2ab2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-35400-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-36000-2-20ce2ab2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-37200-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-37800-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-39000-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-39600-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-40800-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-41400-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-42600-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-43200-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-44400-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-45000-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-46200-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-46800-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-48000-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-48600-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-49800-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-50400-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-51600-2-355f32e5,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-52200-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-53400-2-0fe50e43,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-54000-2-f23fb505,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-55200-2-0fe50e43,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-55800-2-20ce2ab2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-57000-2-e550db8f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-57600-2-20ce2ab2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-58800-2-e550db8f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-59400-2-20ce2ab2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-60600-2-e550db8f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-61200-2-10593867,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-62400-2-e550db8f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-63000-2-10593867,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-64200-2-e550db8f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-64800-2-10593867,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-66000-2-d28b6496,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-66600-2-10593867,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-67800-2-5e90d552,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-68400-2-10593867,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-69600-2-5e90d552,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-70200-2-10593867,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-71400-2-5e90d552,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-72000-2-10593867,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-73200-2-5e90d552,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-73800-2-40fcfa30,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-75000-2-ba07e334,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-75600-2-40fcfa30,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-76800-2-65c01c11,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-77400-2-40fcfa30,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-78600-2-288e3a55,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-79200-2-40fcfa30,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-80400-2-ba07e334,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14702-21600-2-6edfbb0a,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-22200-2-8245a212,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
981-221,Weekday-1,1010-98109-18000-2-b3ba274d,Waiwera To Hibiscus Coast Station,,0,,1010-98109-c53aad0f,0,0
981-221,Weekday-1,1010-98109-19800-2-b3ba274d,Waiwera To Hibiscus Coast Station,,0,,1010-98109-c53aad0f,0,0
981-221,Weekday-1,1010-98109-21600-2-b3ba274d,Waiwera To Hibiscus Coast Station,,0,,1010-98109-c53aad0f,0,0
981-221,Weekday-1,1010-98109-23400-2-ecaa7580,Waiwera To Hibiscus Coast Station,,0,,1010-98109-c53aad0f,0,0
147-203,Weekend-1,1001-14702-23400-2-6edfbb0a,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-24000-2-8245a212,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-25200-2-a5e8cf73,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-25800-2-8fa4b06d,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-27000-2-a5e8cf73,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-27600-2-8fa4b06d,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-28800-2-a5e8cf73,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-29400-2-060e0dc3,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-30600-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-31200-2-060e0dc3,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-32400-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-33000-2-6ac9838b,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-34200-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-34800-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-36000-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-36600-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-37800-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-38400-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-39600-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-40200-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-41400-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-42000-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-43200-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-43800-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-45000-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-45600-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-46800-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-47400-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-48600-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-49200-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-50400-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-50700-2-a6ca85b5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-52200-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-52500-2-a6ca85b5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-54000-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-54300-2-a6ca85b5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-55800-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-56100-2-a6ca85b5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-57600-2-6289d27f,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-57900-2-a6ca85b5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-59400-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-59700-2-a6ca85b5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-61200-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-61500-2-a6ca85b5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-63000-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-63600-2-313b0446,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-64800-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-65400-2-313b0446,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-66600-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-67200-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-68400-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-69000-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-70200-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-70800-2-01d8d4f5,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-72000-2-48747450,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-72600-2-21141ff8,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-73800-2-a5e8cf73,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-74400-2-21141ff8,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-75600-2-a5e8cf73,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-76200-2-21141ff8,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-77400-2-a5e8cf73,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-78000-2-21141ff8,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-79200-2-a5e8cf73,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-79800-2-21141ff8,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-81000-2-6edfbb0a,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-81600-2-6edfbb0a,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-82800-2-6edfbb0a,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-83400-2-6edfbb0a,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekend-1,1001-14702-85500-2-6edfbb0a,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
147-203,Weekday-1,1001-14702-86100-2-6edfbb0a,Henderson To Waitakere Township,,1,,1001-14702-09565f45,0,0
145-203,Weekday-1,1002-14501-19200-2-785ec32d,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-21600-2-785ec32d,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
981-221,Weekday-1,1010-98109-25500-2-332d51ec,Waiwera To Hibiscus Coast Station,,0,,1010-98109-c53aad0f,0,0
145-203,Daily-1,1002-14501-23400-2-785ec32d,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-25200-2-556402ec,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-25200-2-9dd51eb9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-27000-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
981-221,Weekend-1,1010-98109-25500-2-94aebbed,Waiwera To Hibiscus Coast Station,,0,,1010-98109-c53aad0f,0,0
981-221,Weekday-1,1010-98109-27300-2-332d51ec,Waiwera To Hibiscus Coast Station,,0,,1010-98109-c53aad0f,0,0
145-203,Weekend-1,1002-14501-27000-2-9dd51eb9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-28800-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-28800-2-9dd51eb9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-30600-2-9dd51eb9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
